Family Name,Algo ID,Ratios of input parameter sizes,Time Complexity (Average),Exact Problem Statement?,Algorithm Name,Constants,Derived?,Paper Reference for Constants,Time Complexity Improvement?,"Transition Class",Year,Time Complexity (Worst Only),Randomized?,Approximate?,Exact?,Heuristic-based?,Parallel?,"# of
Processors",Quantum?,GPU-based?,Paper/Reference Link,Other References,Problem Statement,"Algorithm family
parameters",Description of Inputs,n = 1000 value,n = 1000 scale,n = 10^6 value,n = 10^6 scale,n = 10^9 value,n = 10^9 scale,"Starting Complexity",Remarks,Papers for ratio evaluations,Family for Algorithm,Domains
1. Sorting,1,NA,O( n² ),1,Naive sorting,1,1,,1,0,1940,O( n² ),0,0,1,0,0,,0,0,-,-,A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1,n is the size of the array to be sorted.,1000000,1,1000000,1,1000000000,1,4,NA,NA,4,Combinatorics
1. Sorting,2,,O( n² ),1,Selection Sort,,,,0,0,1962,O( n² ),0,0,1,0,0,,0,0,-,https://en.wikipedia.org/wiki/Selection_sort,A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1,n is the size of the array to be sorted.,1000000,1,,,,,4,,,4,Combinatorics
1. Sorting,3,,O(n logn),1,Merge Sort,,,,0,0,1945,O(n logn),0,0,1,0,0,,0,0,-,"https://en.wikipedia.org/wiki/Merge_sort#cite_note-2

https://www.ijser.org/researchpaper/Evaluation-of-Sorting-Algorithms-Mathematical-and-Empirical-Analysis-of-sorting-Algorithms.pdf",A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1,n is the size of the array to be sorted.,9965,100.3512293,,,,,4,,,5,Combinatorics
1. Sorting,4,,O(n logn),1,Tree sort,,,,0,0,1962,O(n logn),0,0,1,0,0,,0,0,http://www.neubert.net/FSOIntro.html,-,A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1,n is the size of the array to be sorted.,9965,100.3512293,,,,,4,,,5,Combinatorics
1. Sorting,5,,O( n² ),1,Bubble Sort,,,,0,0,1956,O( n² ),0,0,1,0,0,,0,0,-,https://www.ijser.org/researchpaper/Evaluation-of-Sorting-Algorithms-Mathematical-and-Empirical-Analysis-of-sorting-Algorithms.pdf,A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1,n is the size of the array to be sorted.,1000000,1,,,,,4,,,4,Combinatorics
1. Sorting,6,,O(n logn),1,Quick Sort,,,,0,0,1961,O( n² ),0,0,1,0,0,,0,0,https://apps.dtic.mil/dtic/tr/fulltext/u2/740110.pdf,https://www.ijser.org/researchpaper/Evaluation-of-Sorting-Algorithms-Mathematical-and-Empirical-Analysis-of-sorting-Algorithms.pdf,A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1,n is the size of the array to be sorted.,1000000,1,,,,,4,,,5,Combinatorics
1. Sorting,7,,O(n),1,Counting Sort,,,,0,0,1954,O(n),0,0,1,0,0,,0,0,http://bitsavers.org/pdf/mit/whirlwind/R-series/R-232_Information_Sorting_in_the_Application_of_Electronic_Digital_Computers_to_Business_Operations_May54.pdf,"https://en.wikipedia.org/wiki/Counting_sort

https://www.ijser.org/researchpaper/Evaluation-of-Sorting-Algorithms-Mathematical-and-Empirical-Analysis-of-sorting-Algorithms.pdf",A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1,n is the size of the array to be sorted.,1000,1000,,,,,4,,,6,Combinatorics
1. Sorting,8,,O(n logn),1,Intro Sort,,,,0,0,1997,O(n logn),0,0,1,0,0,,0,0,https://onlinelibrary.wiley.com/doi/abs/10.1002/%28SICI%291097-024X%28199708%2927%3A8%3C983%3A%3AAID-SPE117%3E3.0.CO%3B2-%23,https://en.wikipedia.org/wiki/Introsort,A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1,n is the size of the array to be sorted.,9965,100.3512293,,,,,4,,,5,Combinatorics
1. Sorting,9,,O(n),1,Tim Sort,,,,0,0,2002,O(n logn),0,0,1,0,0,,0,0,-,https://en.wikipedia.org/wiki/Timsort,A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1,n is the size of the array to be sorted.,9965,100.3512293,,,,,4,,,6,Combinatorics
1. Sorting,10,,O(n logn),1,Cube Sort  Parallel Implementation,,,,0,0,1992,O(n logn),0,0,1,0,1,,0,0,https://www.sciencedirect.com/science/article/pii/0196677492900166?via%3Dihub,https://en.wikipedia.org/wiki/Cubesort,A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1,n is the size of the array to be sorted.,9965,100.3512293,,,,,4,,,5,Combinatorics
1. Sorting,11,,O( n² ),1,Shell Sort; (Shell 1959),,,,0,0,1959,O( n² ),0,0,1,0,0,,0,0,https://dl.acm.org/citation.cfm?doid=368370.368387,https://en.wikipedia.org/wiki/Shellsort,A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1,n is the size of the array to be sorted.,1000000,1,,,,,4,,,4,Combinatorics
1. Sorting,12,,O (n^1.5),1,Shell Sort; (Frank & Lazarus 1960),,,,0,0,1960,O (n^1.5),0,0,1,0,0,,0,0,https://dl.acm.org/citation.cfm?doid=366947.366957,https://en.wikipedia.org/wiki/Shellsort,A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1,n is the size of the array to be sorted.,31622,31.62355322,,,,,4,,,4,Combinatorics
1. Sorting,13,,O(n log² n),1,Shell Sort; (Pratt 1971),,,,0,0,1971,O(n log² n),0,0,1,0,0,,0,0,https://apps.dtic.mil/dtic/tr/fulltext/u2/740110.pdf,https://en.wikipedia.org/wiki/Shellsort,A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1,n is the size of the array to be sorted.,99301,10.07039204,,,,,4,,,4,Combinatorics
1. Sorting,14,,O (n^1.33),1,Shell Sort; (Sedgewick; 1986),,,,0,0,1986,O (n^1.33),0,0,1,0,0,,0,0,https://www.sciencedirect.com/science/article/pii/0196677486900015?via%3Dihub,https://en.wikipedia.org/wiki/Shellsort,A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1,n is the size of the array to be sorted.,9772,102.3331969,,,,,4,,,4,Combinatorics
1. Sorting,15,,O(n),1,Flash Sort,,,,0,0,1998,O(n),0,0,1,0,0,,0,0,http://www.neubert.net/FSOIntro.html,-,A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1,n is the size of the array to be sorted.,1000,1000,,,,,4,,,6,Combinatorics
1. Sorting,16,,O(n),1,Bucket Sort,,,,0,0,1940,O( n² ),0,0,1,0,0,,0,0,-,-,A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1,n is the size of the array to be sorted.,1000000,1,,,,,4,,,6,Combinatorics
1. Sorting,17,,O(log² n),1,Bitonic Merge Sort Parallel Implementation,,,,0,0,1968,O(log² n),0,0,1,0,1,,0,0,-,-,A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1,n is the size of the array to be sorted.,99,10101.0101,,,,,4,,,6,Combinatorics
1. Sorting,18,,O(n),1,Bead Sort,,,,0,0,2002,O(n),0,0,1,0,0,,0,0,https://web.archive.org/web/20170809110409/https://www.cs.auckland.ac.nz/~jaru003/research/publications/journals/beadsort.pdf,,A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1,n is the size of the array to be sorted.,1000,1000,,,,,4,,,6,Combinatorics
1. Sorting,19,,O( n² ),1,Odd Even Sort Parallel  Implementation,,,,0,0,1972,O( n² ),0,0,1,0,1,,0,0,https://www.semanticscholar.org/paper/Parallel-Neighbor-Sort-(or-the-Glory-of-the-Habermann/bc7b6efb99aae6225239425747fd0169a51f30ce,https://en.wikipedia.org/wiki/Odd%E2%80%93even_sort,A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1,n is the size of the array to be sorted.,1000000,1,,,,,4,,,4,Combinatorics
1. Sorting,20,,O(n),1,Burst Sort,,,,0,0,2004,O(n),0,0,1,0,0,,0,0,https://dl.acm.org/citation.cfm?doid=1005813.1041517,-,A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1,n is the size of the array to be sorted.,1000,1000,,,,,4,,,6,Combinatorics
1. Sorting,21,NA,O(n),1,Radix Sort,4,1,,1,4->6,1940,O(n),0,0,1,0,0,,0,0,-,"https://en.wikipedia.org/wiki/Radix_sort

https://www.ijser.org/researchpaper/Evaluation-of-Sorting-Algorithms-Mathematical-and-Empirical-Analysis-of-sorting-Algorithms.pdf",A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1,n is the size of the array to be sorted.,1000,1000,1000000,1000000,1000000000,1000000000,4,NA,NA,6,Combinatorics
1. Sorting,22,,O(n loglogn),1,Thorup's Sorting Algorithm,,,,0,0,2002,O(n loglogn),0,0,1,0,0,0,0,0,https://www.sciencedirect.com/science/article/pii/S0196677402912113?via%3Dihub,,A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1,n is the size of the array to be sorted.,3316,301.5681544,,,,,4,,,6,Combinatorics
1. Sorting,23,,O (n),1,Spreadsort,,,,0,0,2002,O (n),0,0,1,0,0,0,0,0,https://www.semanticscholar.org/paper/The-Spreadsort-High-performance-General-case-Ross/41f5b49e9843b2d98b6b22a84924dae5761e6e52,"https://en.wikipedia.org/wiki/Spreadsort#cite_note-1

https://www.ijser.org/researchpaper/Evaluation-of-Sorting-Algorithms-Mathematical-and-Empirical-Analysis-of-sorting-Algorithms.pdf",A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1,n is the size of the array to be sorted.,1000,1000,,,,,4,,,6,Combinatorics
1. Sorting,24,,O(n logn),1,Heap Sort,,,,0,0,1964,O(n logn),0,0,1,0,0,0,0,0,https://www.bibsonomy.org/bibtex/2f485e4ea9a877871b59ab503151a7f10/bjoern,https://en.wikipedia.org/wiki/Heapsort,A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1,n is the size of the array to be sorted.,9965,100.3512293,,,,,4,,,5,Combinatorics
1. Sorting,25,,O(n),1,Spaghetti Sort Parallel Implementation,,,,0,0,1984,O(n),0,0,1,0,1,,0,0,https://link.springer.com/chapter/10.1007/978-94-009-2794-0_11,-,A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1,n is the size of the array to be sorted.,1000,1000,,,,,4,,,6,Combinatorics
2. kth order statistic,26,,O(nlogn),1,Naive Selection,1,1,https://en.wikipedia.org/wiki/Selection_algorithm,1,0,1940,O(nlogn),0,0,1,0,0,,0,0,-,,the kth order statistic of a statistical sample is equal to its kth-smallest value.,1,n is the size of the array,9965,1,19931568,1,29897352854,1,5,,,5,Combinatorics
2. kth order statistic,27,,O(n),1,Hoare's Selection Algorithm (QuickSelect),,,,0,0,1961,O(n),0,0,1,0,0,,0,0,https://dl.acm.org/citation.cfm?doid=366622.366647,,the kth order statistic of a statistical sample is equal to its kth-smallest value.,1,n is the size of the array,1000,9.965,,,,,5,,,6,Combinatorics
2. kth order statistic,28,,O(n),1,Hashing,2,1,https://en.wikipedia.org/wiki/Selection_algorithm,1,5->6,1940,O(n),0,0,1,0,0,,0,0,-,,the kth order statistic of a statistical sample is equal to its kth-smallest value.,1,n is the size of the array,1000,9.965,1000000,19.931568,1000000000,29.89735285,5,,,6,Combinatorics
3. Matrix chain multiplication,29,,O (4^n),1,brute force,1,1,http://www.cs.tut.fi/~elomaa/teach/AADS-2014-7.pdf,1,0,1940,O (4^n),0,0,1,0,0,,0,0,-,,"Matrix chain multiplication (or Matrix Chain Ordering Problem; MCOP) is an
 optimization problem that can be solved using dynamic programming.
 Given a sequence of matrices; the goal is to find the most efficient
 way to multiply these matrices.",,,Inf,1,Inf,1,Inf,1,1,,,1,Combinatorics
3. Matrix chain multiplication,30,,O(n^3),1,dynamic programming algorithm;  S. S. GODBOLE,,,,1,1->3,1953,O(n^3),0,0,1,0,0,,0,0,-,,"Matrix chain multiplication (or Matrix Chain Ordering Problem; MCOP) is an
 optimization problem that can be solved using dynamic programming.
 Given a sequence of matrices; the goal is to find the most efficient
 way to multiply these matrices.",,,1000000000,Inf,,,,,1,,,3,Combinatorics
3. Matrix chain multiplication,31,,O(nlogn),1,T. C. Hut ; M. T. Shing,3,1,http://www.cs.ust.hk/mjg_lib/bibs/DPSu/DPSu.Files/0213017.pdf,1,3->5,1982,O(nlogn),0,0,1,0,0,,0,0,https://citeseerx.ist.psu.edu/viewdoc/citations?doi=10.1.1.695.2923,,"Matrix chain multiplication (or Matrix Chain Ordering Problem; MCOP) is an
 optimization problem that can be solved using dynamic programming.
 Given a sequence of matrices; the goal is to find the most efficient
 way to multiply these matrices.",,,9965,Inf,19931568,Inf,29897352854,Inf,1,,,5,Combinatorics
